SHORT_URL,DESTINATION_URL
https://hp.care/42wlc5r,https://youtu.be/sxp659P_ciY
https://hp.care/486iDs3,https://youtu.be/JG703evwptA
https://hp.care/3Oz0z37,https://youtu.be/2eNEhdlWmQo
https://hp.care/3HTXDKk,https://youtu.be/AvNJzs_n734
https://hp.care/3HPj3bC,https://youtu.be/40yoWKFa2Ts
https://hp.care/3uxW9Cx,https://www.youtube.com/watch?v=ceG1LuWk2Fg
https://hp.care/4brwjRm,https://youtu.be/IYeaVmfHUpA
https://hp.care/3OzMpyF,https://youtu.be/g3wN3-vz_eE
https://hp.care/49fJd34,https://youtu.be/h0zdw7zRg0o
https://hp.care/49lPHgQ,https://www.youtube.com/watch?v=QyvriEgoGZ4
https://hp.care/3UunXCA,https://youtu.be/0oIC626IlpU
https://hp.care/3rHHNLa,https://youtu.be/6NUvKXzOdC8
https://hp.care/3AhCDID,https://api.whatsapp.com/send?phone=14158057668&text=DOA
https://hp.care/3tBo8Lb,https://www.youtube.com/watch?v=Yy3LxLkKW4Y
https://hp.care/3tot8mj,https://api.whatsapp.com/send?phone=14158057668&text=A3_SUP
https://hp.care/2PUEYqx,https://api.whatsapp.com/send?phone=14158057668&text=CE_COMPR
https://hp.care/3epFlCW,https://api.whatsapp.com/send?phone=14158057668&text=CE_COMPC
https://hp.care/3urSpxb,https://api.whatsapp.com/send?phone=14158057668&text=CE_CONPC
https://hp.care/3gud7IF,https://twitter.com/messages/22991317-766676974978740225
https://hp.care/32yYZ8O,https://www.facebook.com/messages/t/404805302978438
https://hp.care/2ITpK11,https://api.whatsapp.com/send?phone=61742436690&text=A3_SUP
https://hp.care/35ETSX8,https://wa.me/6531385547
https://hp.care/3ieHHTZ,https://wa.me/85230016720
https://hp.care/30cPOdx,https://wa.me/85230016657
https://hp.care/2Gm6Tuf,https://api.whatsapp.com/send?phone=6498848268&text=CEASSIST
https://hp.care/2FZtehL,https://api.whatsapp.com/send?phone=61742436690&text=CEASSIST
https://hp.care/36rG57d,https://api.whatsapp.com/send?phone=6531386706&text=GS1
https://hp.care/2GbzWAN,https://api.whatsapp.com/send?phone=63286263788&text=GS1
https://hp.care/30eC6Xz,https://api.whatsapp.com/send?phone=60162996305&text=GS1
https://hp.care/3joZpFP,https://api.whatsapp.com/send?phone=622150890655&text=GS1
https://hp.care/2LRZ8vE,https://support.hp.com/in-en/topic/diagnostics
https://hp.care/3ggaUxR,https://virtualagent.hpcloud.hp.com/?BotClient=webwidget&BotSubClient=Landing&producttype=printer&Template=Printer_Landing_New&query=&SerialNumber=&P‌L=&ProductNumber=&ProductName=&ProductNameOID=&ProductSeriesName=&ProductSeriesNameOID=&CC=in&LC=en
https://hp.care/2TvYkAT,https://virtualagent.hpcloud.hp.com/?BotClient=webwidget&BotSubClient=Landing&producttype=pc&Template=Computer_Landing_New&query=&SerialNumber=&P‌L=&ProductNumber=&ProductName=&ProductNameOID=&ProductSeriesName=&ProductSeriesNameOID=&CC=in&LC=en
https://hp.care/3dE9aMU,https://support.hp.com/us-en/document/c06465959?openCLC=true
https://hp.care/2RIvvR3,https://api.whatsapp.com/send?phone=551138788412
https://hp.care/2XEMbMR,https://api.whatsapp.com/send?phone=525550918056
https://hp.care/3acTwGd,"https://api.whatsapp.com/send?phone=61282784577&text=Welcome to MPS_SPR, please press ""send"" to start"
https://hp.care/3cgWomC,https://support.hp.com/au-en/document/c06465959
https://hp.care/2PX9Qmk,https://support.hp.com/hk-en/document/c06466368
https://hp.care/2MaLX9S,https://support.hp.com/hk-zh/document/c06488469
https://hp.care/2Byj9SY,https://cs-apj.ext.hp.com/digital-support/region_page/whatsApp_IND.html
https://hp.care/2YKJFSW,https://api.whatsapp.com/send?phone=34912158225
https://hp.care/30lyuR2,http://wa.me/74952213824
https://hp.care/2YIB3fQ,http://wa.me/902124679114
https://hp.care/2Jl1iU5,http://wa.me/35316990805
https://hp.care/2XSxarc,https://wa.me/390238594619
https://hp.care/2J70u3S,http://hp.dezide.com/ts/start.jsp?guide=instantink-dgm.net&section=dgm&sfs=ivrEMEA_da&language=pt
https://hp.care/2FsGRCw,http://hp.dezide.com/ts/start.jsp?guide=Printer_Does_Not_Maintain_Wireless_Connection.net&section=ccweb&sfs=ivrEMEA_nl&language=pt
https://hp.care/2x9i6Xv,https://gncpgslbpro1.houston.hp.com/Cso_Status/CsoStatus.aspx?lc=EN&cc=it
https://hp.care/2XsSZNR,http://hp.dezide.com/ts/start.jsp?guide=Printer_Does_Not_Maintain_Wireless_Connection.net&section=ccweb&sfs=ivrEMEA_nl&language=it
https://hp.care/2KyYMvx,http://hp.dezide.com/ts/start.jsp?guide=Printer_Does_Not_Maintain_Wireless_Connection.net&section=ccweb&sfs=ivrEMEA_nl&language=es
https://hp.care/2IbVr33,https://api.whatsapp.com/send?phone=97237370083
https://hp.care/2WtImWI,https://api.whatsapp.com/send?phone=31207219604
https://hp.care/2X9febq,https://api.whatsapp.com/send?phone=33185168064
https://hp.care/2WrtY13,https://api.whatsapp.com/send?phone=4970314509132
https://hp.care/2HrXJL6,http://hp.dezide.com/ts/start.jsp?guide=Printer_Does_Not_Maintain_Wireless_Connection.net&section=ccweb&sfs=ivrEMEA_he&language=he
https://hp.care/2Wmny7H,http://hp.dezide.com/ts/start.jsp?guide=Printer_Does_Not_Maintain_Wireless_Connection.net&section=ccweb&sfs=ivrEMEA_nl&language=nl
https://hp.care/2VQNuIM,http://hp.dezide.com/ts/start.jsp?guide=Printer_Does_Not_Maintain_Wireless_Connection.net& section=ccweb&sfs=ivrEMEA_de&language=de
https://hp.care/2Qemr49,http://hp.dezide.com/ts/start.jsp?guide=Printer_Does_Not_Maintain_Wireless_Connection.net&section=ccweb&sfs=ivrEMEA_fr&language=fr
https://hp.care/2taAlty,https://wa.me/442076602212
https://hp.care/2R0Bhus,http://m.me/HPNederland
https://hp.care/2y74rB7,http://hp.dezide.com/ts/start.jsp?guide=instantink-dgm.net&section=dgm&sfs=ivrEMEA_fi&language=fi
https://hp.care/2Efd426,http://hp.dezide.com/ts/start.jsp?guide=instantink-dgm.net&section=dgm&sfs=ivrEMEA_no&language=no
https://hp.care/2E9yYDF,http://hp.dezide.com/ts/start.jsp?guide=instantink-dgm.net&section=dgm&sfs=ivrEMEA_sv&language=sv
https://hp.care/2QCaapj,http://hp.dezide.com/ts/start.jsp?guide=instantink-dgm.net&section=dgm&sfs=ivrEMEA_da&language=da
https://hp.care/2y8Xu2x,http://hp.dezide.com/ts/start.jsp?guide=instantink-dgm.net&section=dgm&sfs=ivrEMEA_nl&language=nl
