Link,SHORT_URL,DESTINATION_URL
,https://hp.care/PCpreparationDK,https://youtu.be/sxp659P_ciY
,https://hp.care/PCpreparationNL,https://youtu.be/JG703evwptA
,https://hp.care/PCpreparationFI,https://youtu.be/2eNEhdlWmQo
,https://hp.care/PCpreparationFR,https://youtu.be/AvNJzs_n734
,https://hp.care/PCpreparationDE,https://youtu.be/40yoWKFa2Ts
,https://hp.care/PCprepartionUK,https://www.youtube.com/watch?v=ceG1LuWk2Fg
,https://hp.care/PCpreparationIT,https://youtu.be/IYeaVmfHUpA
,https://hp.care/PCpreparationPL,https://youtu.be/g3wN3-vz_eE
,https://hp.care/PCpreparationPT,https://youtu.be/h0zdw7zRg0o
,https://hp.care/PCpreparationES,https://www.youtube.com/watch?v=QyvriEgoGZ4
,https://hp.care/PCpreparationSV,https://youtu.be/0oIC626IlpU
,https://hp.care/cpuremoval,https://youtu.be/6NUvKXzOdC8
,https://hp.care/IN_DOA,https://api.whatsapp.com/send?phone=14158057668&text=DOA
,https://hp.care/HPReverb,https://www.youtube.com/watch?v=Yy3LxLkKW4Y
,https://hp.care/A3_SUP,https://api.whatsapp.com/send?phone=14158057668&text=A3_SUP
,https://hp.care/CE_COMPR,https://api.whatsapp.com/send?phone=14158057668&text=CE_COMPR
,https://hp.care/CE_COMPC,https://api.whatsapp.com/send?phone=14158057668&text=CE_COMPC
,https://hp.care/CE_CONPC,https://api.whatsapp.com/send?phone=14158057668&text=CE_CONPC
,https://hp.care/Twitter,https://twitter.com/messages/22991317-766676974978740225
,https://hp.care/Facebook,https://www.facebook.com/messages/t/404805302978438
,https://hp.care/ANZ_A3,https://api.whatsapp.com/send?phone=61742436690&text=A3_SUP
,https://hp.care/MPS_SG,https://wa.me/6531385547
,https://hp.care/HK_ZH,https://wa.me/85230016720
,https://hp.care/HK_EN,https://wa.me/85230016657
,https://hp.care/NZ_CEASSIST,https://api.whatsapp.com/send?phone=6498848268&text=CEASSIST
,https://hp.care/AU_CEASSIST,https://api.whatsapp.com/send?phone=61742436690&text=CEASSIST
,https://hp.care/SG-GS1,https://api.whatsapp.com/send?phone=6531386706&text=GS1
,https://hp.care/PH-GS1,https://api.whatsapp.com/send?phone=63286263788&text=GS1
,https://hp.care/MY-GS1,https://api.whatsapp.com/send?phone=60162996305&text=GS1
,https://hp.care/ID-GS1,https://api.whatsapp.com/send?phone=622150890655&text=GS1
,https://hp.care/diagnostic-tools,https://support.hp.com/in-en/topic/diagnostics
